time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,surface_area_km2,lwe_thickness_km3,uncertainty_km3,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_km3,SWE_km3,Qs_acc_km3,SWE_mean_km3,Qs_acc_mean_km3,TotalSoilMoisture_mean_km3,SWE_anomaly_km3,Qs_acc_anomaly_km3,TotalSoilMoisture_anomaly_km3,GWS_anomaly_km3
2002-04-17 12:00:00,23.25,86.25,-12.003431275606015,22.88781746306537,0.9672265741072044,2840.055230014247,-0.3297314831961747,0.6500266568959023,1302.16327,0.0,0.0120599594,0.92310198,0.0,8.5495936e-06,0.0,3.3578047656513124e-05,1.0185960904489797,0.0,-2.5028454056513124e-05,-0.0954941104489797,-0.23421234429313847
2002-04-17 12:00:00,23.25,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,2840.055230014247,-0.3595800650689854,0.6500266568959023,1932.38083,0.0,0.0625055645,1.36940574,0.0,4.42949105e-05,0.0,8.965226915805922e-05,1.5652981188571429,0.0,-4.535735865805922e-05,-0.1958923788571429,-0.16364232885318442
2002-04-17 12:00:00,23.75,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,2829.2991102341784,-0.3582182301970672,0.6475648158345316,1953.10294,0.0,0.055250121,1.37883166,0.0,3.90080185e-05,0.0,9.002661874776949e-05,1.521132200367347,0.0,-5.101860024776949e-05,-0.1423005403673471,-0.21586667122947234
2002-04-17 12:00:00,24.25,87.75,-12.003431275606015,22.88781746306537,0.955445765724529,2818.327528372789,-0.3232234883952831,0.645053660205286,1953.10294,0.0,0.055250121,1.37883166,0.0,3.90080185e-05,0.0,9.002661874776949e-05,1.521132200367347,0.0,-5.101860024776949e-05,-0.1423005403673471,-0.1808719294276882
2002-04-17 12:00:00,26.75,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,2760.267502032804,-0.1606229098993575,0.4449138849385899,1249.61464,0.0,0.018496572,0.8632639,0.0,1.2777878e-05,2.2739438367346937e-10,0.0001237506077425,0.8320681156734694,-2.2739438367346937e-10,-0.0001109727297425,0.0311957843265305,-0.19170772126875113
2002-04-17 12:00:00,25.25,88.25,-12.003431275606015,22.88781746306537,1.0277413318537854,2795.741336864437,-0.3448944618132324,0.639884173920996,1662.68268,0.0,0.023133307,1.16168295,0.0,1.61639436e-05,0.0,9.742417606640829e-05,1.1649847815918366,0.0,-8.126023246640828e-05,-0.0033018315918365,-0.3415113699889295
2002-04-17 12:00:00,22.75,88.75,-12.003431275606015,22.88781746306537,0.8263106409296362,2850.5950685928287,-0.2827380674881918,0.6524389959106699,1287.2955,0.0,0.106518065,0.91569937,0.0,7.576526700000001e-05,0.0,0.0001901989886751,1.0147766281632653,0.0,-0.0001144337216751,-0.0990772581632652,-0.1835463756032515
2002-04-17 12:00:00,26.75,88.75,-4.542763216222823,16.118506072724198,1.2500309329684212,2760.267502032804,-0.156744399699291,0.4449138849385899,1651.1063,0.0,0.0172230247,1.1398102799999998,0.0,1.18912874e-05,0.0,0.0001204712806293,1.1643101081632652,0.0,-0.0001085799932293,-0.0244998281632653,-0.1321359915427964
2002-04-17 12:00:00,22.75,87.75,-12.003431275606015,22.88781746306537,0.9523005579861872,2850.5950685928287,-0.3258479391358451,0.6524389959106699,1837.68939,0.0,0.0512166945,1.30719419,0.0,3.6429886e-05,0.0,9.155261463397144e-05,1.5418546993469389,0.0,-5.512272863397144e-05,-0.2346605093469389,-0.0911323070602722
2002-04-17 12:00:00,26.25,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,2772.3035354619205,-0.1613232995215977,0.4468539137177773,2547.1422300000004,0.0,0.042669355,1.76534944,0.0,2.95751364e-05,0.0,0.0002418245938689,1.6255132338367346,0.0,-0.0002122494574689,0.1398362061632654,-0.3009472562273942
2002-04-17 12:00:00,26.25,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,2772.3035354619205,-0.1149806677783646,0.4253791830936763,552.68567,0.0,0.00974625,0.38264006,0.0,6.7476067e-06,0.0,5.752476787231552e-05,0.413945775755102,0.0,-5.077716117231552e-05,-0.031305715755102,-0.08362417486209028
2002-04-17 12:00:00,23.75,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,2829.2991102341784,-0.3582182301970672,0.6475648158345316,1381.46334,0.0,0.025823791,0.9756260799999998,0.0,1.82406527e-05,0.0,5.538071546016282e-05,1.079429154489796,0.0,-3.714006276016282e-05,-0.1038030744897962,-0.25437801564451085
2002-04-17 12:00:00,21.75,87.75,-14.297243930244198,18.358782858696863,0.4385385837881416,2871.0227080792515,-0.1800100548238188,0.5270848248001483,2039.47256,0.0,0.180351455,1.46086091,0.0,0.000129188614,0.0,0.0003355653614339,1.550367882081633,0.0,-0.0002063767474339,-0.0895069720816326,-0.0902967059947523
