time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,surface_area_km2,lwe_thickness_km3,uncertainty_km3,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_km3,SWE_km3,Qs_acc_km3
2008-09-16 00:00:00,22.75,86.75,32.7013715397119,3.866558991628706,1.0119802160227347,2850.5950685928287,0.9433514463861044,0.1102199399396005,2272.61583,0.0,0.0430290728,1.61658026,0.0,3.06082169e-05
2008-09-16 00:00:00,25.25,88.75,32.7013715397119,3.866558991628706,1.0277413318537854,2795.741336864437,0.9396081569329492,0.1080989880432124,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-16 00:00:00,23.25,87.25,32.7013715397119,3.866558991628706,1.0547837018250346,2840.055230014247,0.9796166642776074,0.1098124108633372,2661.741,0.0,0.083133871,1.88633499,0.0,5.8925917e-05
2008-09-16 00:00:00,23.75,87.25,32.7013715397119,3.866558991628706,1.0547837018250346,2829.2991102341784,0.975906569463899,0.1093965191468306,1792.6682,0.0,0.0225175798,1.26601877,0.0,1.59080135e-05
2008-09-16 00:00:00,25.25,88.25,32.7013715397119,3.866558991628706,1.0277413318537854,2795.741336864437,0.9396081569329492,0.1080989880432124,1912.66275,0.0,0.0054345564,1.33634381,0.0,3.797633560000001e-06
2008-09-16 00:00:00,23.25,86.25,32.7013715397119,3.866558991628706,0.9672265741072044,2840.055230014247,0.8982991190403593,0.1098124108633372,1565.84377,0.0,0.0069517742,1.11002235,0.0,4.9281076e-06
2008-09-16 00:00:00,22.75,88.75,32.7013715397119,3.866558991628706,0.8263106409296362,2850.5950685928287,0.7702732977812379,0.1102199399396005,1679.69684,0.0,0.38514698,1.19483059,0.0,0.0002739690899999
2008-09-16 00:00:00,24.25,87.75,32.7013715397119,3.866558991628706,0.955445765724529,2818.327528372789,0.8805691590750804,0.1089722964618451,2635.8456,0.0,0.045781613,1.86087086,0.0,3.23311525e-05
2008-10-16 12:00:00,23.75,88.25,18.218249010539274,3.875308578426469,1.141514266533414,2829.2991102341784,0.5883921099598459,0.1096440711282489,2949.17624,0.0,4.562500067e-05,2.08188846,0.0,3.2188979e-08
2008-10-16 12:00:00,23.75,87.75,18.218249010539274,3.875308578426469,1.0547837018250346,2829.2991102341784,0.5436869481735228,0.1096440711282489,2346.3853,0.0,4.62500003e-06,1.65651647,0.0,3.2625145e-09
2008-10-16 12:00:00,25.25,88.75,18.218249010539274,3.875308578426469,1.0277413318537854,2795.741336864437,0.5234647529859889,0.1083436038581223,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-16 12:00:00,22.75,87.25,18.218249010539274,3.875308578426469,0.9523005579861872,2850.5950685928287,0.494556827830729,0.1104693552293798,2256.76999,0.0,3.20833335e-06,1.60528059,0.0,2.28310999e-09
2008-10-16 12:00:00,22.25,87.25,19.62811484203364,3.478547926003186,1.50542489463114,2860.91782332041,0.8453626721567767,0.0995183976077676,2194.79989,0.0,4.54999995e-05,1.56696368,0.0,3.250580755e-08
2008-10-16 12:00:00,22.25,88.75,19.62811484203364,3.478547926003186,1.3317331549608438,2860.91782332041,0.7478270769219061,0.0995183976077676,1569.50128,0.0,0.003437,1.120538,0.0,2.45443924e-06
2008-10-16 12:00:00,21.75,87.75,19.62811484203364,3.478547926003186,0.4385385837881416,2871.0227080792515,0.2471286106637993,0.0998699008669713,2278.34184,0.0,0.0088264166,1.63192489,0.0,6.322859e-06
2008-10-16 12:00:00,22.75,88.75,18.218249010539274,3.875308578426469,0.8263106409296362,2850.5950685928287,0.4291266721980277,0.1104693552293798,1552.97986,0.0,0.000591208336,1.10469517,0.0,4.2078929e-07
2008-10-16 12:00:00,26.25,88.25,15.11855539744993,2.7781743466608333,0.930137897705321,2772.3035354619205,0.3898507859635953,0.0770194256337744,628.0641,0.0,4.070833e-05,0.43482667,0.0,2.818354e-08
2008-10-16 12:00:00,26.75,88.25,15.11855539744993,2.7781743466608333,0.930137897705321,2760.267502032804,0.3881582378597515,0.0766850436406911,2360.31081,0.0,8.562499900000001e-05,1.6287719200000002,0.0,5.91030556e-08
2008-10-16 12:00:00,23.25,86.25,18.218249010539274,3.875308578426469,0.9672265741072044,2840.055230014247,0.5004510901553919,0.1100609039607917,1357.0936299999998,0.0,7.5e-07,0.96204071,0.0,5.3144976e-10
2008-10-16 12:00:00,26.75,89.25,13.715922235413064,3.043878912575804,1.2809619118947355,2760.267502032804,0.4849672405415738,0.0840192004250594,1224.9905,0.0,1.47083336e-05,0.8462529,0.0,1.01608708e-08
2008-10-16 12:00:00,21.75,88.25,19.62811484203364,3.478547926003186,0.0815523886479138,2871.0227080792515,0.0459570246448589,0.0998699008669713,2363.20539,0.0,0.015039667,1.69273455,0.0,1.07745675e-05
2008-10-16 12:00:00,23.25,87.75,18.218249010539274,3.875308578426469,1.0547837018250346,2840.055230014247,0.545753877723764,0.1100609039607917,2444.01561,0.0,2.0416667e-06,1.73201041,0.0,1.44824943e-09
