time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm,TotalSoilMoisture_mean_cm,SWE_mean_cm,Qs_acc_mean_cm,TotalSoilMoisture_anomaly_cm,SWE_anomaly_cm,Qs_acc_anomaly_cm
2002-04-17 12:00:00,23.25,86.25,-12.003431275606015,22.88781746306537,0.9672265741072044,1302.16327,0.0,0.0120599594,43.405443,0.0,0.0004019986433333,47.895734511564626,0.0,0.0015788801434201446,-4.490291511564628,0.0,-0.0011768815000868446
2002-04-17 12:00:00,23.25,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,1932.38083,0.0,0.0625055645,48.30952075,0.0,0.00156263915,55.21947521836735,0.0,0.00316269427038147,-6.909954468367353,0.0,-0.00160005512038147
2002-04-17 12:00:00,23.75,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,1953.10294,0.0,0.055250121,48.8275735,0.0,0.001381253025,53.86608548265306,0.0,0.0031881012117188755,-5.038511982653063,0.0,-0.0018068481867188756
2002-04-17 12:00:00,24.25,87.75,-12.003431275606015,22.88781746306537,0.955445765724529,1953.10294,0.0,0.055250121,48.8275735,0.0,0.001381253025,53.86608548265306,0.0,0.0031881012117188755,-5.038511982653063,0.0,-0.0018068481867188756
2002-04-17 12:00:00,26.75,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,1249.61464,0.0,0.018496572,62.480733,0.0,0.0009248285999999,60.22286554897959,1.6458197959183674e-08,0.008956738057109621,2.2578674510204095,-1.6458197959183674e-08,-0.008031909457109722
2002-04-17 12:00:00,25.25,88.25,-12.003431275606015,22.88781746306537,1.0277413318537854,1662.68268,0.0,0.023133307,55.42275800000001,0.0,0.0007711102333333,55.58003377006803,0.0,0.004647848369617519,-0.15727577006801852,0.0,-0.0038767381362842194
2002-04-17 12:00:00,22.75,88.75,-12.003431275606015,22.88781746306537,0.8263106409296362,1287.2955,0.0,0.106518065,64.36477500000001,0.0,0.00532590325,71.3283472612245,0.0,0.013368089854739909,-6.963572261224485,0.0,-0.008042186604739909
2002-04-17 12:00:00,26.75,88.75,-4.542763216222823,16.118506072724198,1.2500309329684212,1651.1063,0.0,0.0172230247,55.03687766666667,0.0,0.00057410082,56.21999885442177,0.0,0.005816040314946108,-1.1831211877550984,0.0,-0.005241939494946108
2002-04-17 12:00:00,22.75,87.75,-12.003431275606015,22.88781746306537,0.9523005579861872,1837.68939,0.0,0.0512166945,45.942236,0.0,0.001280417375,54.18914975918367,0.0,0.003217556589345911,-8.24691375918367,0.0,-0.0019371392143459109
2002-04-17 12:00:00,26.25,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,2547.1422300000004,0.0,0.042669355,63.678558,0.0,0.0010667339,58.63572246020408,0.0,0.008723416834047676,5.042835539795924,0.0,-0.007656682934047676
2002-04-17 12:00:00,26.25,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,552.68567,0.0,0.00974625,55.268566,0.0,0.000974625,59.79036687346939,0.0,0.008308882944219241,-4.521800873469388,0.0,-0.007334257944219241
2002-04-17 12:00:00,23.75,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,1381.46334,0.0,0.025823791,46.04877833333333,0.0,0.00086079305,50.94824690476191,0.0,0.0026135043054385733,-4.899468571428578,0.0,-0.0017527112554385732
2002-04-17 12:00:00,21.75,87.75,-14.297243930244198,18.358782858696863,0.4385385837881416,2039.47256,0.0,0.180351455,67.98242,0.0,0.0060117151333333,72.14840348843536,0.0,0.01561565794605075,-4.165983488435359,0.0,-0.00960394281271745
2002-04-17 12:00:00,23.25,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,1986.57899,0.0,0.0614546365,49.6644755,0.0,0.0015363659,55.65203477346939,0.0,0.0032761079248942813,-5.987559273469387,0.0,-0.0017397420248942814
2002-04-17 12:00:00,25.75,88.25,-4.458992152975471,15.343889211712876,0.935049981980547,569.5833,0.0,0.009523508,56.958332,0.0,0.00095235085,58.45475114285714,0.0,0.0057786134141932346,-1.4964191428571425,0.0,-0.004826262564193234
2002-04-17 12:00:00,26.75,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,2078.99441,0.0,0.0239432664,51.9748615,0.0,0.00059858167,56.56019842040816,1.8117731377551023e-07,0.0059487187478888875,-4.58533692040816,-1.8117731377551023e-07,-0.005350137077888888
2002-04-17 12:00:00,22.75,87.25,-12.003431275606015,22.88781746306537,0.9523005579861872,1900.72943,0.0,0.055677621,47.51823675,0.0,0.0013919406,52.83730774183674,0.0,0.003118739612488881,-5.319070991836739,0.0,-0.001726799012488881
2002-04-17 12:00:00,22.25,87.75,-14.297243930244198,18.358782858696863,1.50542489463114,2137.01002,0.0,0.1070870539999999,53.425252,0.0,0.002677176525,61.75704298265306,0.0,0.008637591766893413,-8.331790982653061,0.0,-0.0059604152418934134
2002-04-17 12:00:00,22.25,87.25,-14.297243930244198,18.358782858696863,1.50542489463114,1838.80317,0.0,0.048710645,45.97008,0.0,0.00121776615,51.35420706836735,0.0,0.003245039174449693,-5.384127068367349,0.0,-0.0020272730244496927
2002-04-17 12:00:00,23.25,86.75,-12.003431275606015,22.88781746306537,0.9672265741072044,1946.20526,0.0,0.0322853223,48.655132,0.0,0.0008071330575,52.012684663265304,0.0,0.0017994834185358943,-3.3575526632653023,0.0,-0.0009923503610358942
