time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,CanopInt_inst_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm,CanopInt_inst_cm,TotalSoilMoisture_mean_cm,SWE_mean_cm,Qs_acc_mean_cm,CanopInt_inst_mean_cm,TotalSoilMoisture_anomaly_cm,SWE_anomaly_cm,Qs_acc_anomaly_cm,CanopInt_inst_anomaly_cm
2002-04-17 12:00:00,23.25,86.25,-12.003431275606015,22.88781746306537,0.9672265741072044,1302.16327,0.0,0.0120599594,0.38195969,43.405443,0.0,0.0004019986433333,0.01273199,47.895734511564626,0.0,0.0015788801434201446,0.009121731804939338,-4.490291511564628,0.0,-0.0011768815000868446,0.003610258195060662
2002-04-17 12:00:00,23.25,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,1932.38083,0.0,0.0625055645,0.70262903,48.30952075,0.0,0.00156263915,0.017565726,55.21947521836735,0.0,0.00316269427038147,0.009781382645063971,-6.909954468367353,0.0,-0.00160005512038147,0.007784343354936029
2002-04-17 12:00:00,23.75,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,1953.10294,0.0,0.055250121,0.6698104899999999,48.8275735,0.0,0.001381253025,0.0167452625,53.86608548265306,0.0,0.0031881012117188755,0.009795977586057944,-5.038511982653063,0.0,-0.0018068481867188756,0.006949284913942056
2002-04-17 12:00:00,24.25,87.75,-12.003431275606015,22.88781746306537,0.955445765724529,1953.10294,0.0,0.055250121,0.6698104899999999,48.8275735,0.0,0.001381253025,0.0167452625,53.86608548265306,0.0,0.0031881012117188755,0.009795977586057944,-5.038511982653063,0.0,-0.0018068481867188756,0.006949284913942056
2002-04-17 12:00:00,26.75,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,1249.61464,0.0,0.018496572,0.43477016,62.480733,0.0,0.0009248285999999,0.0217385085,60.22286554897959,1.6458197959183674e-08,0.008956738057109621,0.014164107142114274,2.2578674510204095,-1.6458197959183674e-08,-0.008031909457109722,0.007574401357885726
2002-04-17 12:00:00,25.25,88.25,-12.003431275606015,22.88781746306537,1.0277413318537854,1662.68268,0.0,0.023133307,0.51459275,55.42275800000001,0.0,0.0007711102333333,0.0171530926666666,55.58003377006803,0.0,0.004647848369617519,0.010627052380222277,-0.15727577006801852,0.0,-0.0038767381362842194,0.006526040286444322
2002-04-17 12:00:00,22.75,88.75,-12.003431275606015,22.88781746306537,0.8263106409296362,1287.2955,0.0,0.106518065,0.42691532,64.36477500000001,0.0,0.00532590325,0.021345766,71.3283472612245,0.0,0.013368089854739909,0.010764522429742842,-6.963572261224485,0.0,-0.008042186604739909,0.010581243570257156
2002-04-17 12:00:00,26.75,88.75,-4.542763216222823,16.118506072724198,1.2500309329684212,1651.1063,0.0,0.0172230247,0.591,55.03687766666667,0.0,0.00057410082,0.0197000006666666,56.21999885442177,0.0,0.005816040314946108,0.013395515088379554,-1.1831211877550984,0.0,-0.005241939494946108,0.006304485578287045
2002-04-17 12:00:00,22.75,87.75,-12.003431275606015,22.88781746306537,0.9523005579861872,1837.68939,0.0,0.0512166945,0.73844355,45.942236,0.0,0.001280417375,0.01846108975,54.18914975918367,0.0,0.003217556589345911,0.010360537580982536,-8.24691375918367,0.0,-0.0019371392143459109,0.008100552169017464
2002-04-17 12:00:00,26.25,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,2547.1422300000004,0.0,0.042669355,0.85413305,63.678558,0.0,0.0010667339,0.021353327,58.63572246020408,0.0,0.008723416834047676,0.013637423260347946,5.042835539795924,0.0,-0.007656682934047676,0.007715903739652053
2002-04-17 12:00:00,26.25,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,552.68567,0.0,0.00974625,0.14035484,55.268566,0.0,0.000974625,0.014035485,59.79036687346939,0.0,0.008308882944219241,0.012536669753363266,-4.521800873469388,0.0,-0.007334257944219241,0.0014988152466367342
2002-04-17 12:00:00,23.75,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,1381.46334,0.0,0.025823791,0.47671776,46.04877833333333,0.0,0.00086079305,0.015890592,50.94824690476191,0.0,0.0026135043054385733,0.009747449344231626,-4.899468571428578,0.0,-0.0017527112554385732,0.006143142655768373
2002-04-17 12:00:00,21.75,87.75,-14.297243930244198,18.358782858696863,0.4385385837881416,2039.47256,0.0,0.180351455,0.51406855,67.98242,0.0,0.0060117151333333,0.0171356183333333,72.14840348843536,0.0,0.01561565794605075,0.011085984981822818,-4.165983488435359,0.0,-0.00960394281271745,0.006049633351510483
2002-04-17 12:00:00,23.25,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,1986.57899,0.0,0.0614546365,0.64045162,49.6644755,0.0,0.0015363659,0.016011291,55.65203477346939,0.0,0.0032761079248942813,0.009712717810615397,-5.987559273469387,0.0,-0.0017397420248942814,0.0062985731893846035
2002-04-17 12:00:00,25.75,88.25,-4.458992152975471,15.343889211712876,0.935049981980547,569.5833,0.0,0.009523508,0.15731049,56.958332,0.0,0.00095235085,0.01573105,58.45475114285714,0.0,0.0057786134141932346,0.010495956033309797,-1.4964191428571425,0.0,-0.004826262564193234,0.005235093966690203
