time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm,geometry,TotalSoilMoisture_mean_cm,SWE_mean_cm,Qs_acc_mean_cm,TotalSoilMoisture_anomaly_cm,SWE_anomaly_cm,Qs_acc_anomaly_cm,GWS_anomaly_cm
2006-08-16 12:00:00,24.25,88.25,16.342841911081905,3.809487442086743,1.0904283439857283,0.0,0.63178664,1160.8956,116.08956,0.0,0.063178666,POINT (88.5 23.5),93.38670802040816,0.0,0.0134971019535441,22.70285197959184,0.0,0.0496815640464558,-6.409691632556392
2006-08-16 12:00:00,26.25,88.25,13.301054250875952,2.7153469656375573,0.930137897705321,,,,,,,,,,,,,,
2006-09-16 00:00:00,25.25,88.25,22.51237206008804,4.200837917352214,1.0277413318537854,0.0,0.13294175,1284.5483,128.45483,0.0,0.013294175,POINT (88.5 25.5),104.35376874285716,0.0,0.023117157279413,24.10106125714283,0.0,-0.009822982279413,-1.5788662147753776
2006-09-16 00:00:00,22.25,87.25,25.8890525327685,3.7573942073808464,1.50542489463114,0.0,0.07920155,630.10944,63.010944,0.0,0.007920155,POINT (87.5 22.5),49.95855811428572,0.0,0.0234863640328547,13.052385885714289,0.0,-0.0155662090328547,12.852232856087065
2006-09-16 00:00:00,23.75,87.25,22.51237206008804,4.200837917352214,1.0547837018250346,0.0,0.054814856,591.5213,59.15213,0.0,0.0054814857,POINT (87.5 23.5),46.36167929795919,0.0,0.0199306293401213,12.790450702040816,0.0,-0.0144491436401213,9.736370501687345
2006-09-16 00:00:00,22.75,88.25,22.51237206008804,4.200837917352214,0.8263106409296362,0.0,0.139673,1446.1097,144.61098,0.0,0.0139673,POINT (88.5 22.5),109.76586868571428,0.0,0.0159543429835457,34.84511131428573,0.0,-0.0019870429835457,-12.330752211214147
2006-09-16 00:00:00,26.25,88.25,21.010380748737628,2.984199569762068,0.930137897705321,,,,,,,,,,,,,,
2006-09-16 00:00:00,21.75,88.25,25.8890525327685,3.7573942073808464,0.0815523886479138,0.0,0.139673,1446.1097,144.61098,0.0,0.0139673,POINT (88.5 22.5),109.76586868571428,0.0,0.0159543429835457,34.84511131428573,0.0,-0.0019870429835457,-8.954071738533688
2006-09-16 00:00:00,21.75,87.75,25.8890525327685,3.7573942073808464,0.4385385837881416,0.0,0.07920155,630.10944,63.010944,0.0,0.007920155,POINT (87.5 22.5),49.95855811428572,0.0,0.0234863640328547,13.052385885714289,0.0,-0.0155662090328547,12.852232856087065
2006-09-16 00:00:00,23.75,88.25,22.51237206008804,4.200837917352214,1.141514266533414,0.0,0.078930944,1200.8751,120.08752,0.0,0.007893095,POINT (88.5 23.5),93.38670802040816,0.0,0.0134971019535441,26.700811979591837,0.0,-0.0056040069535441,-4.182835912550253
2006-09-16 00:00:00,22.25,88.75,25.8890525327685,3.7573942073808464,1.3317331549608438,0.0,0.139673,1446.1097,144.61098,0.0,0.0139673,POINT (88.5 22.5),109.76586868571428,0.0,0.0159543429835457,34.84511131428573,0.0,-0.0019870429835457,-8.954071738533688
2006-09-16 00:00:00,25.75,88.25,21.010380748737628,2.984199569762068,0.935049981980547,0.0,0.13294175,1284.5483,128.45483,0.0,0.013294175,POINT (88.5 25.5),104.35376874285716,0.0,0.023117157279413,24.10106125714283,0.0,-0.009822982279413,-3.08085752612579
2006-09-16 00:00:00,24.25,87.75,22.51237206008804,4.200837917352214,0.955445765724529,0.0,0.054814856,591.5213,59.15213,0.0,0.0054814857,POINT (87.5 23.5),46.36167929795919,0.0,0.0199306293401213,12.790450702040816,0.0,-0.0144491436401213,9.736370501687345
2006-09-16 00:00:00,26.75,89.25,17.636175369636714,3.371145462766872,1.2809619118947355,0.0,0.17300147,1277.5891,127.75891,0.0,0.017300148,POINT (89.5 26.5),109.01432812244896,1.759609318367347e-09,0.0422683199100195,18.744581877551028,-1.759609318367347e-09,-0.0249681719100195,-1.0834383342446863
2006-09-16 00:00:00,23.75,87.75,22.51237206008804,4.200837917352214,1.0547837018250346,0.0,0.054814856,591.5213,59.15213,0.0,0.0054814857,POINT (87.5 23.5),46.36167929795919,0.0,0.0199306293401213,12.790450702040816,0.0,-0.0144491436401213,9.736370501687345
2006-09-16 00:00:00,22.75,88.75,22.51237206008804,4.200837917352214,0.8263106409296362,0.0,0.139673,1446.1097,144.61098,0.0,0.0139673,POINT (88.5 22.5),109.76586868571428,0.0,0.0159543429835457,34.84511131428573,0.0,-0.0019870429835457,-12.330752211214147
2006-09-16 00:00:00,25.25,88.75,22.51237206008804,4.200837917352214,1.0277413318537854,0.0,0.13294175,1284.5483,128.45483,0.0,0.013294175,POINT (88.5 25.5),104.35376874285716,0.0,0.023117157279413,24.10106125714283,0.0,-0.009822982279413,-1.5788662147753776
2006-09-16 00:00:00,23.25,86.25,22.51237206008804,4.200837917352214,0.9672265741072044,0.0,0.06237052,609.40826,60.940826,0.0,0.006237052,POINT (86.5 23.5),48.44408977959184,0.0,0.0192840575796795,12.496736220408168,0.0,-0.0130470055796795,10.028682845259551
2006-09-16 00:00:00,26.75,88.25,21.010380748737628,2.984199569762068,0.930137897705321,,,,,,,,,,,,,,
