time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm
2013-07-16 12:00:00,22.75,88.75,-2.753828658846253,3.807196867748462,0.8263106409296362,1724.0897,0.0,0.7355223,86.204488,0.0,0.036776116
2013-07-16 12:00:00,23.75,87.25,-2.753828658846253,3.807196867748462,1.0547837018250346,1971.18653,0.0,0.256611372,65.70621833333333,0.0,0.0085537127
2013-07-16 12:00:00,23.25,88.25,-2.753828658846253,3.807196867748462,1.141514266533414,2258.65932,0.0,0.494814396,75.28864666666666,0.0,0.0164938133333333
2013-07-16 12:00:00,21.75,87.75,-3.7146163953778646,3.4288414823220705,0.4385385837881416,2572.1572,0.0,1.6250026599999998,85.73857533333332,0.0,0.0541667566666666
2013-07-16 12:00:00,21.75,88.25,-3.7146163953778646,3.4288414823220705,0.0815523886479138,2612.8414,0.0,1.80235533,87.09471666666667,0.0,0.060078512
2013-07-16 12:00:00,23.25,87.25,-2.753828658846253,3.807196867748462,1.0547837018250346,2900.41932,0.0,0.47871589,72.51048475,0.0,0.0119678975
2013-07-16 12:00:00,23.25,87.75,-2.753828658846253,3.807196867748462,1.0547837018250346,2903.88915,0.0,0.40549956,72.59723,0.0,0.010137489
2013-07-16 12:00:00,23.25,86.75,-2.753828658846253,3.807196867748462,0.9672265741072044,2667.90929,0.0,0.2202838,66.69773475,0.0,0.005507095
2013-07-16 12:00:00,22.75,87.25,-2.753828658846253,3.807196867748462,0.9523005579861872,2781.6114,0.0,0.438469794,69.54028625000001,0.0,0.01096174475
2013-07-16 12:00:00,22.75,86.75,-2.753828658846253,3.807196867748462,1.0119802160227347,2633.4661,0.0,0.330537942,65.8366555,0.0,0.0082634489999999
2013-07-16 12:00:00,26.25,88.25,-1.168957932109646,2.6635016393347346,0.930137897705321,751.44006,0.0,0.19202,75.144005,0.0,0.019202
2013-07-16 12:00:00,26.75,89.25,7.582740674696327,2.984376715048899,1.2809619118947355,1509.36676,0.0,0.45531371,75.46834000000001,0.0,0.022765686
2013-07-16 12:00:00,22.25,88.25,-3.7146163953778646,3.4288414823220705,1.3317331549608438,3388.05095,0.0,1.8239217000000003,84.7012765,0.0,0.0455980423749999
2013-07-16 12:00:00,24.25,87.75,-2.753828658846253,3.807196867748462,0.955445765724529,2773.5102,0.0,0.35523222,69.33775625000001,0.0,0.008880805575
2013-10-16 12:00:00,25.75,88.25,-3.609741197505235,2.664896522890289,0.935049981980547,617.05444,0.0,1.3333333e-06,61.705444,0.0,1.3333333e-07
2013-10-16 12:00:00,23.25,87.75,14.16327363343736,3.8292766720152,1.0547837018250346,2479.15121,0.0,3.75e-07,61.97878175,0.0,9.37499975e-09
2013-10-16 12:00:00,22.75,86.75,14.16327363343736,3.8292766720152,1.0119802160227347,2143.05004,0.0,0.0,53.57625025,0.0,0.0
2013-10-16 12:00:00,26.75,88.75,-4.311726671761592,3.0561376562812304,1.2500309329684212,1730.27714,0.0,9.1666668e-07,57.675906,0.0,3.0555556e-08
