time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm,geometry,TotalSoilMoisture_mean_cm,SWE_mean_cm,Qs_acc_mean_cm,TotalSoilMoisture_anomaly_cm,SWE_anomaly_cm,Qs_acc_anomaly_cm,GWS_anomaly_cm
2009-12-16 12:00:00,23.75,87.25,-11.414862543972102,4.576323472973275,1.0547837018250346,0.0,3.0197043e-07,216.78557,21.678556,0.0,3.0197043e-08,POINT (87.5 23.5),23.57673086938776,0.0,0.0085390053711862,-1.898174869387756,0.0,-0.0085389751741432,-9.508148699410203
2009-12-16 12:00:00,26.75,88.25,-15.396475799170029,3.2933889551101374,0.930137897705321,,,,,,,,,,,,,,
2009-12-16 12:00:00,21.75,88.25,-9.298712886714688,4.040607550597328,0.0815523886479138,0.0,2.3324623e-05,288.75653,28.875654,0.0,2.3324624e-06,POINT (88.5 22.5),31.226214330612244,0.0,0.0239152861002515,-2.350560330612243,0.0,-0.0239129536378515,-6.924239602464593
2009-12-16 12:00:00,22.25,88.75,-9.298712886714688,4.040607550597328,1.3317331549608438,0.0,2.3324623e-05,288.75653,28.875654,0.0,2.3324624e-06,POINT (88.5 22.5),31.226214330612244,0.0,0.0239152861002515,-2.350560330612243,0.0,-0.0239129536378515,-6.924239602464593
2009-12-16 12:00:00,23.25,88.25,-11.414862543972102,4.576323472973275,1.141514266533414,0.0,0.000111890135,223.15883,22.315884,0.0,1.1189014e-05,POINT (88.5 23.5),23.479598097959183,0.0,0.008641867026778,-1.163714097959183,0.0,-0.008630678012778,-10.242517768000141
2009-12-16 12:00:00,23.75,87.75,-11.414862543972102,4.576323472973275,1.0547837018250346,0.0,3.0197043e-07,216.78557,21.678556,0.0,3.0197043e-08,POINT (87.5 23.5),23.57673086938776,0.0,0.0085390053711862,-1.898174869387756,0.0,-0.0085389751741432,-9.508148699410203
2009-12-16 12:00:00,23.25,86.75,-11.414862543972102,4.576323472973275,0.9672265741072044,0.0,9.268808e-07,198.9355,19.89355,0.0,9.2688076e-08,POINT (86.5 23.5),22.886413673469388,0.0,0.0096819464416551,-2.9928636734693868,0.0,-0.0096818537535791,-8.412317016749137
2009-12-16 12:00:00,22.25,87.75,-9.298712886714688,4.040607550597328,1.50542489463114,0.0,7.678782e-05,211.79692,21.179693,0.0,7.678783e-06,POINT (87.5 22.5),23.891391902040816,0.0,0.0124645365709628,-2.7116989020408155,0.0,-0.0124568577879628,-6.574557126885909
2009-12-16 12:00:00,22.75,88.25,-11.414862543972102,4.576323472973275,0.8263106409296362,0.0,2.3324623e-05,288.75653,28.875654,0.0,2.3324624e-06,POINT (88.5 22.5),31.226214330612244,0.0,0.0239152861002515,-2.350560330612243,0.0,-0.0239129536378515,-9.040389259722009
2009-12-16 12:00:00,26.75,88.75,-23.847546090696493,3.7263441100634704,1.2500309329684212,,,,,,,,,,,,,,
