time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,SMS_noah_cm,SWE_noah_cm,Runoff_noah_cm,SMS_clsm_cm,SWE_clsm_cm,Runoff_clsm_cm,SMS_vic_cm,SWE_vic_cm,Runoff_vic_cm,SMS_ensemble_cm,SWE_ensemble_cm,Runoff_ensemble_cm,SMS_ensemble_mean_cm,SWE_ensemble_mean_cm,Runoff_ensemble_mean_cm,SMS_ensemble_anomaly_cm,SWE_ensemble_anomaly_cm,Runoff_ensemble_anomaly_cm,GWS_ensemble_anomaly_cm
2007-09-16 00:00:00,21.75,88.25,36.568187855339296,3.760657228940748,0.0815523886479138,84.82163000000001,0.0,0.0418892273333333,37.73524,0.0,0.055082228,146.34055,0.0,0.047518756,89.63247333333334,0.0,0.0481634037777777,71.38362986122449,0.0,0.019223458454353807,18.248843472108845,0.0,0.02893994532342389,18.29040443790703
2007-09-16 00:00:00,22.25,88.25,36.568187855339296,3.760657228940748,1.3317331549608438,82.230396,0.0,0.03586006075,37.73524,0.0,0.055082228,146.34055,0.0,0.047518756,88.76872866666668,0.0,0.0461536815833333,70.51189608979591,0.0,0.017558604207079442,18.256832576870764,0.0,0.028595077376253858,18.28276020109228
2007-09-16 00:00:00,25.25,88.75,40.88920908548648,4.250057797625937,1.0277413318537854,,,,39.709606,0.0,0.022104006,128.61113,0.0,0.01835842,84.160368,0.0,0.0202312129999999,66.0119247489796,0.0,0.019221026490527288,18.14844325102041,0.0,0.0010101865094726131,22.739755647956596
2007-09-16 00:00:00,22.75,88.25,40.88920908548648,4.250057797625937,0.8263106409296362,74.645105,0.0,0.0183787865,37.73524,0.0,0.055082228,146.34055,0.0,0.047518756,86.24029833333334,0.0,0.0403265901666666,67.0520780244898,0.0,0.01518994431972135,19.18822030884354,0.0,0.02513664584694525,21.67585213079599
2007-09-16 00:00:00,23.25,88.25,40.88920908548648,4.250057797625937,1.141514266533414,75.21995199999999,0.0,0.0150261196666666,36.8995,0.0,0.024150448,127.61204,0.0,0.02687783,79.91049733333334,0.0,0.0220181325555555,59.02971299546485,0.0,0.009373857209203298,20.88078433786849,0.0,0.012644275346352202,19.995780472271633
2007-09-16 00:00:00,23.75,88.25,40.88920908548648,4.250057797625937,1.141514266533414,81.213306,0.0,0.017731338825,36.8995,0.0,0.024150448,127.61204,0.0,0.02687783,81.908282,0.0,0.022919872275,61.34022535408163,0.0,0.010953734467736616,20.568056645918368,0.0,0.011966137807263383,20.309186301760846
2007-09-16 00:00:00,24.25,88.25,40.88920908548648,4.250057797625937,1.0904283439857283,81.213306,0.0,0.017731338825,36.8995,0.0,0.024150448,127.61204,0.0,0.02687783,81.908282,0.0,0.022919872275,61.34022535408163,0.0,0.010953734467736616,20.568056645918368,0.0,0.011966137807263383,20.309186301760846
2007-09-16 00:00:00,25.25,88.25,40.88920908548648,4.250057797625937,1.0277413318537854,65.48197833333333,0.0,0.0032011492666666,39.709606,0.0,0.022104006,128.61113,0.0,0.01835842,77.93423811111111,0.0,0.0145545250888888,62.53462775600907,0.0,0.014363300450224005,15.399610355102041,0.0,0.00019122463866479492,25.489407505745774
2007-09-16 00:00:00,25.75,88.25,33.25173007674345,3.02845079895518,0.935049981980547,68.78575,0.0,0.0024885281,39.709606,0.0,0.022104006,128.61113,0.0,0.01835842,79.03549533333333,0.0,0.0143169847,63.49286688027211,0.0,0.014740222131749244,15.54262845306122,0.0,-0.0004232374317492439,17.709524861113977
2007-09-16 00:00:00,26.25,88.25,33.25173007674345,3.02845079895518,0.930137897705321,67.62373,0.0,0.0006224113,,,,,,,67.62373,0.0,0.0006224113,59.79036687346939,0.0,0.008308882944219241,7.833363126530607,0.0,-0.007686471644219241,25.426053421857063
2007-09-16 00:00:00,22.75,88.75,40.88920908548648,4.250057797625937,0.8263106409296362,85.23644,0.0,0.044980958,37.73524,0.0,0.055082228,146.34055,0.0,0.047518756,89.77074333333333,0.0,0.0491939806666666,70.77347675918368,0.0,0.017745906312845675,18.99726657414965,0.0,0.03144807435382092,21.860494436983007
2007-09-16 00:00:00,26.75,88.25,33.25173007674345,3.02845079895518,0.930137897705321,63.747172500000005,0.0,0.0004198054625,,,,,,,63.747172500000005,0.0,0.0004198054625,56.56019842040816,1.8117731377551023e-07,0.0059487187478888875,7.186974079591842,-1.8117731377551023e-07,-0.005528913285388888,26.07028509161431
2007-09-16 00:00:00,22.25,88.75,36.568187855339296,3.760657228940748,1.3317331549608438,85.49575250000001,0.0,0.0526938475,37.73524,0.0,0.055082228,146.34055,0.0,0.047518756,89.85718083333335,0.0,0.0517649438333333,70.95112689795918,0.0,0.018582121089887573,18.90605393537416,0.0,0.03318282274344572,17.62895109722169
2007-09-16 00:00:00,23.25,87.25,40.88920908548648,4.250057797625937,1.0547837018250346,67.8552575,0.0,0.0041540312999999,36.324932,0.0,0.017862601,60.738583,0.0,0.017911552,54.972924166666665,0.0,0.0133093947666666,41.86348164693877,0.0,0.010581914212067263,13.109442519727892,0.0,0.002727480554599338,27.777039085203988
2007-09-16 00:00:00,23.75,87.25,40.88920908548648,4.250057797625937,1.0547837018250346,61.28222,0.0,0.0021535941,36.324932,0.0,0.017862601,60.738583,0.0,0.017911552,52.781911666666666,0.0,0.0126425823666666,40.295552357369615,0.0,0.01036104633891536,12.48635930929705,0.0,0.0022815360277512395,28.400568240161675
