time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,SMS_noah_cm,SWE_noah_cm,Runoff_noah_cm,SMS_clsm_cm,SWE_clsm_cm,Runoff_clsm_cm,SMS_vic_cm,SWE_vic_cm,Runoff_vic_cm,SMS_ensemble_cm,SWE_ensemble_cm,Runoff_ensemble_cm
2002-04-17 12:00:00,23.25,86.25,-12.003431275606015,22.88781746306537,0.9672265741072044,43.405443,0.0,0.0004019986433333,20.568842,0.0,0.004988778,43.711376,0.0,0.012380599,35.895220333333334,0.0,0.005923791881111101
2002-04-17 12:00:00,23.25,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,48.30952075,0.0,0.00156263915,21.99677,0.0,0.01065019,42.99582,0.0,0.01653312,37.76737025,0.0,0.00958198305
2002-04-17 12:00:00,23.75,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,48.8275735,0.0,0.001381253025,21.99677,0.0,0.01065019,42.99582,0.0,0.01653312,37.9400545,0.0,0.009521521008333332
2002-04-17 12:00:00,24.25,87.75,-12.003431275606015,22.88781746306537,0.955445765724529,48.8275735,0.0,0.001381253025,21.99677,0.0,0.01065019,42.99582,0.0,0.01653312,37.9400545,0.0,0.009521521008333332
2002-04-17 12:00:00,26.75,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,62.480733,0.0,0.0009248285999999,25.643482,0.0,0.009904035,104.20803,0.0,0.015461276,64.11074833333333,0.0,0.008763379866666634
2002-04-17 12:00:00,25.25,88.25,-12.003431275606015,22.88781746306537,1.0277413318537854,55.42275800000001,0.0,0.0007711102333333,24.835327,0.0,0.006441144,93.05874,0.0,0.011205778,57.772275,0.0,0.006139344077777766
2002-04-17 12:00:00,22.75,88.75,-12.003431275606015,22.88781746306537,0.8263106409296362,64.36477500000001,0.0,0.00532590325,30.290253,0.0,0.01515904,95.668434,0.0,0.013173141,63.441154000000004,0.0,0.011219361416666665
2002-04-17 12:00:00,26.75,88.75,-4.542763216222823,16.118506072724198,1.2500309329684212,55.03687766666667,0.0,0.00057410082,,,,,,,55.03687766666667,0.0,0.00057410082
2002-04-17 12:00:00,22.75,87.75,-12.003431275606015,22.88781746306537,0.9523005579861872,45.942236,0.0,0.001280417375,22.326296,0.0,0.010696547,45.651974,0.0,0.01642629,37.973501999999996,0.0,0.009467751458333333
2002-04-17 12:00:00,26.25,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,63.678558,0.0,0.0010667339,25.643482,0.0,0.009904035,104.20803,0.0,0.015461276,64.51002333333334,0.0,0.008810681633333333
2002-04-17 12:00:00,26.25,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,55.268566,0.0,0.000974625,,,,,,,55.268566,0.0,0.000974625
2002-04-17 12:00:00,23.75,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,46.04877833333333,0.0,0.00086079305,21.99677,0.0,0.01065019,42.99582,0.0,0.01653312,37.01378944444445,0.0,0.00934803435
2002-04-17 12:00:00,21.75,87.75,-14.297243930244198,18.358782858696863,0.4385385837881416,67.98242,0.0,0.0060117151333333,22.326296,0.0,0.010696547,45.651974,0.0,0.01642629,45.32023,0.0,0.0110448507111111
2002-04-17 12:00:00,23.25,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,49.6644755,0.0,0.0015363659,21.99677,0.0,0.01065019,42.99582,0.0,0.01653312,38.219021833333336,0.0,0.0095732253
2002-04-17 12:00:00,25.75,88.25,-4.458992152975471,15.343889211712876,0.935049981980547,56.958332,0.0,0.00095235085,24.835327,0.0,0.006441144,93.05874,0.0,0.011205778,58.284133,0.0,0.006199757616666667
2002-04-17 12:00:00,26.75,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,51.9748615,0.0,0.00059858167,,,,,,,51.9748615,0.0,0.00059858167
2002-04-17 12:00:00,22.75,87.25,-12.003431275606015,22.88781746306537,0.9523005579861872,47.51823675,0.0,0.0013919406,22.326296,0.0,0.010696547,45.651974,0.0,0.01642629,38.49883558333334,0.0,0.009504925866666666
2002-04-17 12:00:00,22.25,87.75,-14.297243930244198,18.358782858696863,1.50542489463114,53.425252,0.0,0.002677176525,22.326296,0.0,0.010696547,45.651974,0.0,0.01642629,40.46784066666667,0.0,0.009933337841666667
2002-04-17 12:00:00,22.25,87.25,-14.297243930244198,18.358782858696863,1.50542489463114,45.97008,0.0,0.00121776615,22.326296,0.0,0.010696547,45.651974,0.0,0.01642629,37.98278333333334,0.0,0.009446867716666666
2002-04-17 12:00:00,23.25,86.75,-12.003431275606015,22.88781746306537,0.9672265741072044,48.655132,0.0,0.0008071330575,20.568842,0.0,0.004988778,43.711376,0.0,0.012380599,37.64511666666667,0.0,0.0060588366858333334
2002-04-17 12:00:00,22.75,86.75,-12.003431275606015,22.88781746306537,1.0119802160227347,45.553108,0.0,0.0010258881499999,,,,,,,45.553108,0.0,0.0010258881499999
2002-04-17 12:00:00,21.75,88.25,-14.297243930244198,18.358782858696863,0.0815523886479138,67.84554666666666,0.0,0.0052158264666666,30.290253,0.0,0.01515904,95.668434,0.0,0.013173141,64.60141122222223,0.0,0.011182669155555533
2002-04-17 12:00:00,22.25,88.25,-14.297243930244198,18.358782858696863,1.3317331549608438,64.61596875,0.0,0.003869867,30.290253,0.0,0.01515904,95.668434,0.0,0.013173141,63.52488524999999,0.0,0.010734015999999999
