time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,CanopInt_inst_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm,CanopInt_inst_cm,TotalSoilMoisture_mean_cm,SWE_mean_cm,Qs_acc_mean_cm,CanopInt_inst_mean_cm,TotalSoilMoisture_anomaly_cm,SWE_anomaly_cm,Qs_acc_anomaly_cm,CanopInt_inst_anomaly_cm,GWS_anomaly_cm
2002-05-10 12:00:00,23.75,87.25,-9.15633644184424,11.58461565484018,1.0547837018250346,1381.46334,0.0,0.025823791,0.47671776,46.04877833333333,0.0,0.00086079305,0.015890592,50.94824690476191,0.0,0.0026135043054385,0.0097474493442316,-4.899468571428578,0.0,-0.0017527112554385,0.0061431426557683,-4.261258301815992
2002-05-10 12:00:00,22.75,88.75,-9.15633644184424,11.58461565484018,0.8263106409296362,1287.2955,0.0,0.106518065,0.42691532,64.36477500000001,0.0,0.00532590325,0.021345766,71.3283472612245,0.0,0.0133680898547399,0.0107645224297428,-6.963572261224485,0.0,-0.0080421866047399,0.0105812435702571,-2.1953032375852732
2002-05-10 12:00:00,23.25,87.25,-9.15633644184424,11.58461565484018,1.0547837018250346,1986.57899,0.0,0.0614546365,0.64045162,49.6644755,0.0,0.0015363659,0.016011291,55.65203477346939,0.0,0.0032761079248942,0.0097127178106153,-5.987559273469387,0.0,-0.0017397420248942,0.0062985731893846,-3.1733359995393444
2002-08-16 12:00:00,23.25,86.75,34.97172258248811,8.5030886992779,0.9672265741072044,2565.35134,0.0,0.156955204,0.92866668,64.133783,0.0,0.0039238801,0.023216667,52.0126846632653,0.0,0.0017994834185358,0.0094482790197453,12.12109833673469,0.0,0.0021243966814641,0.0137683879802546,22.834731461091703
2002-08-16 12:00:00,23.75,88.25,34.97172258248811,8.5030886992779,1.141514266533414,3287.8818300000003,0.0,1.10398361,0.92205,82.1970485,0.0,0.0275995915,0.0230512505,67.15436994387754,0.0,0.0107222344228877,0.0098339325441998,15.042678556122452,0.0,0.0168773570771122,0.0132173179558001,19.89894935133275
2002-08-16 12:00:00,23.25,88.25,34.97172258248811,8.5030886992779,1.141514266533414,2291.19726,0.0,0.5163357399999999,0.67432917,76.37324466666666,0.0,0.0172111914333333,0.0224776389999999,60.22283286802721,0.0,0.0059826026472878,0.0095298896863264,16.150411798639453,0.0,0.0112285887860454,0.0129477493136734,18.797134445748938
2002-08-16 12:00:00,22.75,88.25,34.97172258248811,8.5030886992779,0.8263106409296362,3058.68933,0.0,0.639753235,0.93775417,76.46723374999999,0.0,0.015993831,0.023443855,60.16415105714286,0.0,0.0057002038753669,0.0103067646415444,16.30308269285713,0.0,0.010293627124633,0.0131370903584555,18.645209172147894
2002-08-16 12:00:00,25.25,88.75,34.97172258248811,8.5030886992779,1.0277413318537854,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2002-08-16 12:00:00,22.25,88.25,26.72826113567377,8.294761480402762,1.3317331549608438,3397.65647,0.0,1.48962122,1.04824584,84.94141350000001,0.0,0.03724053075,0.02620614625,70.54360525306123,0.0,0.0128061835374411,0.0107001940463744,14.39780824693878,0.0,0.0244343472125588,0.0155059522036255,12.290512589318805
2002-08-16 12:00:00,21.75,88.25,26.72826113567377,8.294761480402762,0.0815523886479138,2641.1844,0.0,1.6314630500000002,0.7382666600000001,88.03947999999998,0.0,0.0543821023333333,0.024608889,73.15880656734694,0.0,0.0178007462792643,0.0111652720232054,14.88067343265304,0.0,0.0365813560540689,0.0134436169767945,11.797562729989865
2002-08-16 12:00:00,22.75,86.75,34.97172258248811,8.5030886992779,1.0119802160227347,2556.67342,0.0,0.257061923,0.95824166,63.91684075,0.0,0.006426548075,0.0239560415,49.751007663265305,0.0,0.002331561080832,0.0100082435258333,14.165833086734692,0.0,0.0040949869941679,0.0139477979741666,20.787846710785086
2002-08-16 12:00:00,22.25,87.75,26.72826113567377,8.294761480402762,1.50542489463114,3150.16466,0.0,1.15049309,1.03074584,78.7541175,0.0,0.028762328,0.0257686465,61.75704298265306,0.0,0.0086375917668934,0.0105685059239837,16.997074517346945,0.0,0.0201247362331065,0.0152001405760162,9.6958617415177
2002-08-16 12:00:00,22.25,87.25,26.72826113567377,8.294761480402762,1.50542489463114,2662.61367,0.0,0.410189876,1.02527081,66.56534475,0.0,0.0102547468749999,0.0256317704999999,51.35420706836735,0.0,0.0032450391744496,0.0103808379501377,15.211137681632644,0.0,0.0070097077005502,0.0152509325498621,11.494862813790713
2002-08-16 12:00:00,22.75,87.25,34.97172258248811,8.5030886992779,0.9523005579861872,2698.96829,0.0,0.373669709,0.96511248,67.4742095,0.0,0.00934174275,0.0241278127499999,52.83730774183674,0.0,0.0031187396124888,0.0102011377468471,14.636901758163262,0.0,0.0062230031375111,0.0139266750031527,20.314671146184185
2002-08-16 12:00:00,21.75,87.75,26.72826113567377,8.294761480402762,0.4385385837881416,2571.93835,0.0,1.53146606,0.77119584,85.73128033333334,0.0,0.0510488699999999,0.0257065286666666,72.14840348843536,0.0,0.0156156579460507,0.0110859849818228,13.582876844897982,0.0,0.0354332120539491,0.0146205436848437,13.095330535036995
2002-08-16 12:00:00,23.25,87.25,34.97172258248811,8.5030886992779,1.0547837018250346,2799.13086,0.0,0.32024341,0.93115416,69.978272,0.0,0.0080060854,0.02327885425,55.65203477346939,0.0,0.0032761079248942,0.0097127178106153,14.326237226530615,0.0,0.0047299774751057,0.0135661364393846,20.627189242043006
2002-08-16 12:00:00,23.75,87.25,34.97172258248811,8.5030886992779,1.0547837018250346,1912.36254,0.0,0.1452604559999999,0.70302916,63.74542,0.0,0.0048420152666666,0.0234343056666666,50.94824690476191,0.0,0.0026135043054385,0.0097474493442316,12.797173095238094,0.0,0.002228510961228,0.0136868563224349,22.158634119966358
2002-08-16 12:00:00,26.25,89.25,46.88038033546875,6.728459952759747,1.2809619118947355,2784.72589,0.0,0.431521959,0.91909583,69.61814625,0.0,0.0107880492499999,0.0229773959999999,58.63572246020408,0.0,0.0087234168340476,0.0136374232603479,10.982423789795916,0.0,0.0020646324159522,0.0093399727396519,35.88655194051723
2002-08-16 12:00:00,23.25,86.25,34.97172258248811,8.5030886992779,0.9672265741072044,1832.56813,0.0,0.089846581,0.69298333,61.08560433333334,0.0,0.0029948860666666,0.0230994446666666,47.89573451156463,0.0,0.0015788801434201,0.0091217318049393,13.189869821768715,0.0,0.0014160059232464,0.0139777128617272,21.766459041934425
2002-08-16 12:00:00,26.75,88.75,46.88038033546875,6.728459952759747,1.2500309329684212,2044.6256,0.0,0.16667442,0.67224999,68.15418799999999,0.0,0.0055558139333333,0.0224083333333333,56.21999885442177,0.0,0.0058160403149461,0.0133955150883795,11.934189145578223,0.0,-0.0002602263816128,0.0090128182449537,34.937438598027185
2002-08-16 12:00:00,24.25,87.75,34.97172258248811,8.5030886992779,0.955445765724529,2743.8958,0.0,0.240144711,0.94871666,68.5973955,0.0,0.00600361775,0.0237179165,53.86608548265306,0.0,0.0031881012117188,0.0097959775860579,14.731310017346942,0.0,0.0028155165382811,0.013921938913942,20.223675109688948
