time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor
2002-04-17 12:00:00,23.25,86.25,-12.003431275606015,22.887817463065375,0.9672265741072044
2002-04-17 12:00:00,23.25,87.75,-12.003431275606015,22.887817463065375,1.0547837018250346
2002-04-17 12:00:00,23.75,87.75,-12.003431275606015,22.887817463065375,1.0547837018250346
2002-04-17 12:00:00,24.25,87.75,-12.003431275606015,22.887817463065375,0.955445765724529
2002-04-17 12:00:00,26.75,89.25,-4.542763216222823,16.118506072724198,1.2809619118947357
2002-04-17 12:00:00,25.25,88.25,-12.003431275606015,22.887817463065375,1.0277413318537854
2002-04-17 12:00:00,22.75,88.75,-12.003431275606015,22.887817463065375,0.8263106409296362
2002-04-17 12:00:00,26.75,88.75,-4.542763216222823,16.118506072724198,1.2500309329684212
2002-04-17 12:00:00,22.75,87.75,-12.003431275606015,22.887817463065375,0.9523005579861871
2002-04-17 12:00:00,26.25,89.25,-4.542763216222823,16.118506072724198,1.2809619118947357
2002-04-17 12:00:00,26.25,88.25,-4.458992152975471,15.343889211712877,0.930137897705321
2002-04-17 12:00:00,23.75,87.25,-12.003431275606015,22.887817463065375,1.0547837018250346
2002-04-17 12:00:00,21.75,87.75,-14.297243930244198,18.358782858696866,0.43853858378814164
2002-04-17 12:00:00,23.25,87.25,-12.003431275606015,22.887817463065375,1.0547837018250346
2002-04-17 12:00:00,25.75,88.25,-4.458992152975471,15.343889211712877,0.935049981980547
2002-04-17 12:00:00,26.75,88.25,-4.458992152975471,15.343889211712877,0.930137897705321
2002-04-17 12:00:00,22.75,87.25,-12.003431275606015,22.887817463065375,0.9523005579861871
2002-04-17 12:00:00,22.25,87.75,-14.297243930244198,18.358782858696866,1.50542489463114
2002-04-17 12:00:00,22.25,87.25,-14.297243930244198,18.358782858696866,1.50542489463114
2002-04-17 12:00:00,23.25,86.75,-12.003431275606015,22.887817463065375,0.9672265741072044
2002-04-17 12:00:00,22.75,86.75,-12.003431275606015,22.887817463065375,1.0119802160227347
2002-04-17 12:00:00,21.75,88.25,-14.297243930244198,18.358782858696866,0.08155238864791389
2002-04-17 12:00:00,22.25,88.25,-14.297243930244198,18.358782858696866,1.3317331549608438
2002-04-17 12:00:00,23.25,88.25,-12.003431275606015,22.887817463065375,1.141514266533414
2002-04-17 12:00:00,25.25,88.75,-12.003431275606015,22.887817463065375,1.0277413318537854
2002-04-17 12:00:00,23.75,88.25,-12.003431275606015,22.887817463065375,1.141514266533414
2002-04-17 12:00:00,22.75,88.25,-12.003431275606015,22.887817463065375,0.8263106409296362
2002-04-17 12:00:00,24.25,88.25,-12.003431275606015,22.887817463065375,1.0904283439857283
2002-04-17 12:00:00,22.25,88.75,-14.297243930244198,18.358782858696866,1.3317331549608438
2002-05-10 12:00:00,22.75,88.25,-9.156336441844239,11.58461565484018,0.8263106409296362
2002-05-10 12:00:00,21.75,87.75,-14.106660701179257,10.845347460421573,0.43853858378814164
2002-05-10 12:00:00,23.25,88.25,-9.156336441844239,11.58461565484018,1.141514266533414
2002-05-10 12:00:00,23.75,88.25,-9.156336441844239,11.58461565484018,1.141514266533414
2002-05-10 12:00:00,22.25,87.75,-14.106660701179257,10.845347460421573,1.50542489463114
2002-05-10 12:00:00,25.75,88.25,-2.7303538486408163,8.125737319906584,0.935049981980547
2002-05-10 12:00:00,26.75,88.75,2.2476616470099193,8.826346126061853,1.2500309329684212
2002-05-10 12:00:00,25.25,88.25,-9.156336441844239,11.58461565484018,1.0277413318537854
2002-05-10 12:00:00,24.25,87.75,-9.156336441844239,11.58461565484018,0.955445765724529
2002-05-10 12:00:00,23.25,87.75,-9.156336441844239,11.58461565484018,1.0547837018250346
2002-05-10 12:00:00,21.75,88.25,-14.106660701179257,10.845347460421573,0.08155238864791389
2002-05-10 12:00:00,23.25,86.25,-9.156336441844239,11.58461565484018,0.9672265741072044
2002-05-10 12:00:00,22.75,87.75,-9.156336441844239,11.58461565484018,0.9523005579861871
2002-05-10 12:00:00,22.25,88.25,-14.106660701179257,10.845347460421573,1.3317331549608438
2002-05-10 12:00:00,25.25,88.75,-9.156336441844239,11.58461565484018,1.0277413318537854
2002-05-10 12:00:00,23.75,87.75,-9.156336441844239,11.58461565484018,1.0547837018250346
2002-05-10 12:00:00,22.75,87.25,-9.156336441844239,11.58461565484018,0.9523005579861871
2002-05-10 12:00:00,26.75,88.25,-2.7303538486408163,8.125737319906584,0.930137897705321
2002-05-10 12:00:00,22.25,87.25,-14.106660701179257,10.845347460421573,1.50542489463114
2002-05-10 12:00:00,26.25,89.25,2.2476616470099193,8.826346126061853,1.2809619118947357
2002-05-10 12:00:00,26.75,89.25,2.2476616470099193,8.826346126061853,1.2809619118947357
2002-05-10 12:00:00,22.75,86.75,-9.156336441844239,11.58461565484018,1.0119802160227347
2002-05-10 12:00:00,23.25,86.75,-9.156336441844239,11.58461565484018,0.9672265741072044
2002-05-10 12:00:00,22.25,88.75,-14.106660701179257,10.845347460421573,1.3317331549608438
2002-05-10 12:00:00,26.25,88.25,-2.7303538486408163,8.125737319906584,0.930137897705321
2002-05-10 12:00:00,24.25,88.25,-9.156336441844239,11.58461565484018,1.0904283439857283
2002-05-10 12:00:00,23.75,87.25,-9.156336441844239,11.58461565484018,1.0547837018250346
2002-05-10 12:00:00,22.75,88.75,-9.156336441844239,11.58461565484018,0.8263106409296362
2002-05-10 12:00:00,23.25,87.25,-9.156336441844239,11.58461565484018,1.0547837018250346
2002-08-16 12:00:00,23.25,86.75,34.97172258248811,8.5030886992779,0.9672265741072044
