time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,GWS_noah_cm,GWS_clsm_cm,GWS_vic_cm
2011-11-01 12:00:00,26.75,89.25,-17.679714671077726,3.0007368853144687,1.2809619118947355,-13.494956377999491,-16.85605953516304,-19.378778976536125
2011-11-01 12:00:00,23.25,86.25,-3.1546054999010043,3.820513300693003,0.9672265741072044,0.8906212181959257,-5.802908086559862,-0.4008516627294911
2011-11-01 12:00:00,25.25,88.25,-3.1546054999010043,3.820513300693003,1.0277413318537854,1.6180814435366369,-5.454926941347768,-10.232269599764432
2011-11-01 12:00:00,26.25,88.25,-7.895963862783785,2.727851642379309,0.930137897705321,-5.16544117720352,,
2011-11-01 12:00:00,22.25,87.75,6.463552974319706,3.3873278383561183,1.50542489463114,6.7035031747813045,2.448884220875483,9.668195376346276
2011-11-01 12:00:00,23.75,87.25,-3.1546054999010043,3.820513300693003,1.0547837018250346,0.1012955758330065,-6.0918638322397225,0.6934584273983009
2011-11-01 12:00:00,22.75,87.25,-3.1546054999010043,3.820513300693003,0.9523005579861872,-0.8756236069934444,-7.169274253345227,0.0500369021255657
2011-11-01 12:00:00,23.75,87.75,-3.1546054999010043,3.820513300693003,1.0547837018250346,-2.382299168119555,-6.0918638322397225,0.6934584273983009
2011-11-01 12:00:00,24.25,87.75,-3.1546054999010043,3.820513300693003,0.955445765724529,-2.382299168119555,-6.0918638322397225,0.6934584273983009
2011-11-01 12:00:00,24.25,88.25,-3.1546054999010043,3.820513300693003,1.0904283439857283,-3.9482111132672415,-8.064543340723041,-17.475742444215292
2011-11-01 12:00:00,22.75,88.25,-3.1546054999010043,3.820513300693003,0.8263106409296362,-3.5774205107577783,-2.96835889815358,-20.585455143747183
2011-11-01 12:00:00,23.25,88.25,-3.1546054999010043,3.820513300693003,1.141514266533414,-3.987964730615383,-8.064543340723041,-17.475742444215292
2011-11-01 12:00:00,21.75,88.25,6.463552974319706,3.3873278383561183,0.0815523886479138,8.039253644890017,6.649799576067131,-10.96729666952647
2011-11-01 12:00:00,25.25,88.75,-3.1546054999010043,3.820513300693003,1.0277413318537854,,-5.454926941347768,-10.232269599764432
2011-11-01 12:00:00,23.25,86.75,-3.1546054999010043,3.820513300693003,0.9672265741072044,0.4651778957411707,-5.802908086559862,-0.4008516627294911
2011-11-01 12:00:00,22.75,88.75,-3.1546054999010043,3.820513300693003,0.8263106409296362,-3.39483533007178,-2.96835889815358,-20.585455143747183
2011-11-01 12:00:00,25.75,88.25,-7.895963862783785,2.727851642379309,0.935049981980547,-3.9332481231791143,-10.196285304230548,-14.973627962647214
2011-11-01 12:00:00,22.25,88.75,6.463552974319706,3.3873278383561183,1.3317331549608438,6.650842273556577,6.649799576067131,-10.96729666952647
2011-11-01 12:00:00,22.25,88.25,6.463552974319706,3.3873278383561183,1.3317331549608438,7.323441872376708,6.649799576067131,-10.96729666952647
2011-11-01 12:00:00,26.75,88.25,-7.895963862783785,2.727851642379309,0.930137897705321,-5.937073809117089,,
2011-11-01 12:00:00,21.75,87.75,6.463552974319706,3.3873278383561183,0.4385385837881416,8.646246308201015,2.448884220875483,9.668195376346276
2011-11-01 12:00:00,23.25,87.25,-3.1546054999010043,3.820513300693003,1.0547837018250346,-1.2730561185067208,-6.0918638322397225,0.6934584273983009
2012-01-01 00:00:00,24.25,88.25,-16.71779168609806,3.6867871468773945,1.0904283439857283,-11.26042412574513,-17.8622594322121,-13.832594383736357
2012-01-01 00:00:00,22.25,88.25,-8.131771422767391,3.241405774447156,1.3317331549608438,-3.459094055756223,-6.884593740054895,-8.85125028276957
2012-01-01 00:00:00,25.25,88.75,-16.71779168609806,3.6867871468773945,1.0277413318537854,,-15.90671354188438,-3.4522029885814955
2012-01-01 00:00:00,24.25,87.75,-16.71779168609806,3.6867871468773945,0.955445765724529,-9.678821878442278,-17.41420219753912,-6.467867083098753
2012-01-01 00:00:00,23.25,86.75,-16.71779168609806,3.6867871468773945,0.9672265741072044,-9.831719837804217,-17.703745202987015,-7.469030916926545
2012-01-01 00:00:00,22.75,88.75,-16.71779168609806,3.6867871468773945,0.8263106409296362,-11.479595710018833,-15.470614003385563,-17.43727054610024
2012-01-01 00:00:00,21.75,87.75,-8.131771422767391,3.241405774447156,0.4385385837881416,-4.153648561319304,-10.329904369455612,1.4505713135511795
2012-01-01 00:00:00,21.75,88.25,-8.131771422767391,3.241405774447156,0.0815523886479138,-2.8376028363078545,-6.884593740054895,-8.85125028276957
2012-01-01 00:00:00,22.25,88.75,-8.131771422767391,3.241405774447156,1.3317331549608438,-2.462503509055514,-6.884593740054895,-8.85125028276957
2012-01-01 00:00:00,22.75,87.75,-16.71779168609806,3.6867871468773945,0.9523005579861872,-10.871460634452545,-18.91592463278628,-7.135448949779489
2012-01-01 00:00:00,22.75,86.75,-16.71779168609806,3.6867871468773945,1.0119802160227347,-9.942205126076924,,
2012-01-01 00:00:00,25.75,88.25,-22.847955380290017,2.617669191645695,0.935049981980547,-12.23178256353468,-22.036877236076336,-9.582366682773452
2012-01-01 00:00:00,26.75,89.25,-30.672127285156616,2.815705157431782,1.2809619118947355,-18.31282698972641,-27.18406867740993,-13.11201088163801
2012-01-01 00:00:00,22.75,87.25,-16.71779168609806,3.6867871468773945,0.9523005579861872,-10.387141878036331,-18.91592463278628,-7.135448949779489
2012-01-01 00:00:00,25.25,88.25,-16.71779168609806,3.6867871468773945,1.0277413318537854,-6.313942305563712,-15.90671354188438,-3.4522029885814955
2012-01-01 00:00:00,22.25,87.75,-8.131771422767391,3.241405774447156,1.50542489463114,-3.755505221352436,-10.329904369455612,1.4505713135511795
