time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,GWS_noah_cm,GWS_clsm_cm,GWS_vic_cm,GWS_output_ensemble_cm
2002-04-17 12:00:00,23.25,86.25,-12.003431275606015,22.88781746306537,0.9672265741072044,-7.5119628825413,-9.681166433694973,-7.263814037434503,-8.152314451223592
2002-04-17 12:00:00,23.25,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,-5.0918767521182815,-10.425581590847074,-8.63417446830671,-8.050544270424021
2002-04-17 12:00:00,23.75,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,-6.963112444766234,-10.425581590847074,-8.63417446830671,-8.674289501306673
2002-04-17 12:00:00,24.25,87.75,-12.003431275606015,22.88781746306537,0.955445765724529,-6.963112444766234,-10.425581590847074,-8.63417446830671,-8.674289501306673
2002-04-17 12:00:00,26.75,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,-6.792598741327924,1.906786557213864,0.290341951895785,-1.531823410739425
2002-04-17 12:00:00,25.25,88.25,-12.003431275606015,22.88781746306537,1.0277413318537854,-11.842278767401712,-9.15979376880233,-0.6964911534694469,-7.232854563224497
2002-04-17 12:00:00,22.75,88.75,-12.003431275606015,22.88781746306537,0.8263106409296362,-5.03181682777679,-11.05871369889352,2.096784612091806,-4.664581971526168
2002-04-17 12:00:00,26.75,88.75,-4.542763216222823,16.118506072724198,1.2500309329684212,-3.354400088972778,,,-3.354400088972778
2002-04-17 12:00:00,22.75,87.75,-12.003431275606015,22.88781746306537,0.9523005579861872,-3.754580377207999,-10.436567383994236,-7.689787087287448,-7.293644949496561
2002-04-17 12:00:00,26.25,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,-9.5779420730847,1.906786557213864,0.290341951895785,-2.4602711879916837
2002-04-17 12:00:00,26.25,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,0.0701429784381364,,,0.0701429784381364
2002-04-17 12:00:00,23.75,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,-7.102209992921999,-10.425581590847074,-8.63417446830671,-8.720655350691928
2002-04-17 12:00:00,21.75,87.75,-14.297243930244198,18.358782858696863,0.4385385837881416,-10.121656498996122,-12.730380038632418,-9.98359974192563,-10.945212093184724
2002-04-17 12:00:00,23.25,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,-6.014132260111734,-10.425581590847074,-8.63417446830671,-8.357962773088506
2002-04-17 12:00:00,25.75,88.25,-4.458992152975471,15.343889211712876,0.935049981980547,-2.9577467475541352,-1.6153546461717871,6.847947969161098,0.7582821918117251
2002-04-17 12:00:00,26.75,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,0.131695085687892,,,0.131695085687892
2002-04-17 12:00:00,22.75,87.25,-12.003431275606015,22.88781746306537,0.9523005579861872,-6.682633484756788,-10.436567383994236,-7.689787087287448,-8.269662652012824
2002-04-17 12:00:00,22.25,87.75,-14.297243930244198,18.358782858696863,1.50542489463114,-5.959492532349243,-12.730380038632418,-9.98359974192563,-9.557824104302432
2002-04-17 12:00:00,22.25,87.25,-14.297243930244198,18.358782858696863,1.50542489463114,-8.9110895888524,-12.730380038632418,-9.98359974192563,-10.541689789803483
2002-04-17 12:00:00,23.25,86.75,-12.003431275606015,22.88781746306537,0.9672265741072044,-8.644886261979677,-9.681166433694973,-7.263814037434503,-8.529955577703051
2002-04-17 12:00:00,22.75,86.75,-12.003431275606015,22.88781746306537,1.0119802160227347,-7.804225939409879,,,-7.804225939409879
2002-04-17 12:00:00,21.75,88.25,-14.297243930244198,18.358782858696863,0.0815523886479138,-8.97139910975132,-13.352526353531704,-0.1970280425463766,-7.506984501943133
2002-04-17 12:00:00,22.25,88.25,-14.297243930244198,18.358782858696863,1.3317331549608438,-8.36067111064552,-13.352526353531704,-0.1970280425463766,-7.3034085022412
2002-04-17 12:00:00,23.25,88.25,-12.003431275606015,22.88781746306537,1.141514266533414,-5.966916644898186,-9.588532858620052,-3.872634277244313,-6.4760279269208505
2002-04-17 12:00:00,25.25,88.75,-12.003431275606015,22.88781746306537,1.0277413318537854,,-9.15979376880233,-0.6964911534694469,-4.928142461135889
2002-04-17 12:00:00,23.75,88.25,-12.003431275606015,22.88781746306537,1.141514266533414,-8.331634188130588,-9.588532858620052,-3.872634277244313,-7.264267107998318
2002-04-17 12:00:00,22.75,88.25,-12.003431275606015,22.88781746306537,0.8263106409296362,-4.265710969312792,-11.05871369889352,2.096784612091806,-4.409213352038169
2002-04-17 12:00:00,24.25,88.25,-12.003431275606015,22.88781746306537,1.0904283439857283,-8.331634188130588,-9.588532858620052,-3.872634277244313,-7.264267107998318
2002-04-17 12:00:00,22.25,88.75,-14.297243930244198,18.358782858696863,1.3317331549608438,-7.212307409507326,-13.352526353531704,-0.1970280425463766,-6.920620601861802
2002-05-10 12:00:00,22.75,88.25,-9.15633644184424,11.58461565484018,0.8263106409296362,-1.4186161355510176,-8.211618865131745,4.943879445853581,-1.5621185182763941
2002-05-10 12:00:00,21.75,87.75,-14.106660701179257,10.845347460421571,0.4385385837881416,-9.93107326993118,-12.539796809567475,-9.793016512860689,-10.75462886411978
2002-05-10 12:00:00,23.25,88.25,-9.15633644184424,11.58461565484018,1.141514266533414,-3.119821811136412,-6.741438024858278,-1.025539443482538,-3.6289330931590764
2002-05-10 12:00:00,23.75,88.25,-9.15633644184424,11.58461565484018,1.141514266533414,-5.484539354368813,-6.741438024858278,-1.025539443482538,-4.417172274236543
