time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,surface_area_km2,lwe_thickness_km3,uncertainty_km3
2002-04-17 12:00:00,23.25,86.25,-12.003431275606015,22.887817463065375,0.9672265741072044,2840.055230014247,-0.32973148319617474,0.6500266568959023
2002-04-17 12:00:00,23.25,87.75,-12.003431275606015,22.887817463065375,1.0547837018250346,2840.055230014247,-0.3595800650689854,0.6500266568959023
2002-04-17 12:00:00,23.75,87.75,-12.003431275606015,22.887817463065375,1.0547837018250346,2829.2991102341784,-0.3582182301970672,0.6475648158345316
2002-04-17 12:00:00,24.25,87.75,-12.003431275606015,22.887817463065375,0.955445765724529,2818.327528372789,-0.3232234883952831,0.645053660205286
2002-04-17 12:00:00,26.75,89.25,-4.542763216222823,16.118506072724198,1.2809619118947357,2760.2675020328033,-0.1606229098993575,0.44491388493858997
2002-04-17 12:00:00,25.25,88.25,-12.003431275606015,22.887817463065375,1.0277413318537854,2795.7413368644366,-0.3448944618132324,0.639884173920996
2002-04-17 12:00:00,22.75,88.75,-12.003431275606015,22.887817463065375,0.8263106409296362,2850.5950685928287,-0.2827380674881918,0.6524389959106699
2002-04-17 12:00:00,26.75,88.75,-4.542763216222823,16.118506072724198,1.2500309329684212,2760.2675020328033,-0.15674439969929105,0.44491388493858997
2002-04-17 12:00:00,22.75,87.75,-12.003431275606015,22.887817463065375,0.9523005579861871,2850.5950685928287,-0.3258479391358451,0.6524389959106699
2002-04-17 12:00:00,26.25,89.25,-4.542763216222823,16.118506072724198,1.2809619118947357,2772.3035354619205,-0.16132329952159777,0.44685391371777733
2002-04-17 12:00:00,26.25,88.25,-4.458992152975471,15.343889211712877,0.930137897705321,2772.3035354619205,-0.1149806677783646,0.42537918309367634
2002-04-17 12:00:00,23.75,87.25,-12.003431275606015,22.887817463065375,1.0547837018250346,2829.2991102341784,-0.3582182301970672,0.6475648158345316
2002-04-17 12:00:00,21.75,87.75,-14.297243930244198,18.358782858696866,0.43853858378814164,2871.0227080792515,-0.18001005482381885,0.5270848248001483
2002-04-17 12:00:00,23.25,87.25,-12.003431275606015,22.887817463065375,1.0547837018250346,2840.055230014247,-0.3595800650689854,0.6500266568959023
2002-04-17 12:00:00,25.75,88.25,-4.458992152975471,15.343889211712877,0.935049981980547,2784.128447243403,-0.11608090947334535,0.42719358445680977
2002-04-17 12:00:00,26.75,88.25,-4.458992152975471,15.343889211712877,0.930137897705321,2760.2675020328033,-0.11448147598952176,0.4235323874588279
2002-04-17 12:00:00,22.75,87.25,-12.003431275606015,22.887817463065375,0.9523005579861871,2850.5950685928287,-0.3258479391358451,0.6524389959106699
2002-04-17 12:00:00,22.25,87.75,-14.297243930244198,18.358782858696866,1.50542489463114,2860.91782332041,-0.6157675574358035,0.5252296909491511
2002-04-17 12:00:00,22.25,87.25,-14.297243930244198,18.358782858696866,1.50542489463114,2860.91782332041,-0.6157675574358035,0.5252296909491511
2002-04-17 12:00:00,23.25,86.75,-12.003431275606015,22.887817463065375,0.9672265741072044,2840.055230014247,-0.32973148319617474,0.6500266568959023
2002-04-17 12:00:00,22.75,86.75,-12.003431275606015,22.887817463065375,1.0119802160227347,2850.5950685928287,-0.3462684811763372,0.6524389959106699
2002-04-17 12:00:00,21.75,88.25,-14.297243930244198,18.358782858696866,0.08155238864791389,2871.0227080792515,-0.03347538961045307,0.5270848248001483
2002-04-17 12:00:00,22.25,88.25,-14.297243930244198,18.358782858696866,1.3317331549608438,2860.91782332041,-0.5447220083253913,0.5252296909491511
2002-04-17 12:00:00,23.25,88.25,-12.003431275606015,22.887817463065375,1.141514266533414,2840.055230014247,-0.3891468682413784,0.6500266568959023
2002-04-17 12:00:00,25.25,88.75,-12.003431275606015,22.887817463065375,1.0277413318537854,2795.7413368644366,-0.3448944618132324,0.639884173920996
2002-04-17 12:00:00,23.75,88.25,-12.003431275606015,22.887817463065375,1.141514266533414,2829.2991102341784,-0.3876730552385158,0.6475648158345316
2002-04-17 12:00:00,22.75,88.25,-12.003431275606015,22.887817463065375,0.8263106409296362,2850.5950685928287,-0.2827380674881918,0.6524389959106699
2002-04-17 12:00:00,24.25,88.25,-12.003431275606015,22.887817463065375,1.0904283439857283,2818.327528372789,-0.36888755576920584,0.645053660205286
2002-04-17 12:00:00,22.25,88.75,-14.297243930244198,18.358782858696866,1.3317331549608438,2860.91782332041,-0.5447220083253913,0.5252296909491511
2002-05-10 12:00:00,22.75,88.25,-9.156336441844239,11.58461565484018,0.8263106409296362,2850.5950685928287,-0.21567540242429917,0.330230482572307
2002-05-10 12:00:00,21.75,87.75,-14.106660701179257,10.845347460421573,0.43853858378814164,2871.0227080792515,-0.1776105086119851,0.31137238835879977
2002-05-10 12:00:00,23.25,88.25,-9.156336441844239,11.58461565484018,1.141514266533414,2840.055230014247,-0.29684509113234364,0.32900948278233777
2002-05-10 12:00:00,23.75,88.25,-9.156336441844239,11.58461565484018,1.141514266533414,2829.2991102341784,-0.2957208519546679,0.32776342764644256
2002-05-10 12:00:00,22.25,87.75,-14.106660701179257,10.845347460421573,1.50542489463114,2860.91782332041,-0.6075593342270426,0.31027647849622825
2002-05-10 12:00:00,25.75,88.25,-2.7303538486408163,8.125737319906584,0.935049981980547,2784.128447243403,-0.07107928138487087,0.22623096427179293
2002-05-10 12:00:00,26.75,88.75,2.2476616470099193,8.826346126061853,1.2500309329684212,2760.2675020328033,0.07755376162454357,0.24363076373461667
