time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm,geometry,TotalSoilMoisture_mean_cm,SWE_mean_cm,Qs_acc_mean_cm,TotalSoilMoisture_anomaly_cm,SWE_anomaly_cm,Qs_acc_anomaly_cm
2003-09-16 00:00:00,23.25,87.75,28.33488159320001,3.749099844843647,1.0547837018250346,0.0,0.465895,348.67197,34.8672,0.0,0.0465895,POINT (87.5 23.5),23.576730869387756,0.0,0.008539005371186216,11.290469130612241,0.0,0.03805049462881378
2003-09-16 00:00:00,22.75,87.75,28.33488159320001,3.749099844843647,0.9523005579861872,0.0,0.5808377,327.35184,32.735184,0.0,0.058083773,POINT (87.5 22.5),23.891391902040816,0.0,0.012464536570962881,8.84379209795918,0.0,0.04561923642903712
2003-09-16 00:00:00,23.25,88.25,28.33488159320001,3.749099844843647,1.141514266533414,0.0,0.32443893,353.9549,35.39549,0.0,0.032443892,POINT (88.5 23.5),23.479598097959183,0.0,0.008641867026778025,11.91589190204082,0.0,0.023802024973221977
2003-09-16 00:00:00,26.25,89.25,36.157951794138526,2.9604615020529983,1.2809619118947355,0.0,0.5042749,404.45618,40.445618,0.0,0.050427493,POINT (89.5 26.5),32.067086714285715,0.0,0.03584909415097055,8.378531285714288,0.0,0.01457839884902945
2003-09-16 00:00:00,22.25,87.25,36.91726460323358,3.4181948162121447,1.50542489463114,0.0,0.5808377,327.35184,32.735184,0.0,0.058083773,POINT (87.5 22.5),23.891391902040816,0.0,0.012464536570962881,8.84379209795918,0.0,0.04561923642903712
2003-10-16 00:00:00,25.25,88.25,29.966285838797177,3.844607484648912,1.0277413318537854,0.0,0.54789203,418.63998,41.864,0.0,0.054789204,POINT (88.5 25.5),27.670080755102042,0.0,0.01532489570164154,14.193919244897955,0.0,0.03946430829835846
2003-10-16 00:00:00,23.25,87.75,29.966285838797177,3.844607484648912,1.0547837018250346,0.0,0.465895,348.67197,34.8672,0.0,0.0465895,POINT (87.5 23.5),23.576730869387756,0.0,0.008539005371186216,11.290469130612241,0.0,0.03805049462881378
2003-10-16 00:00:00,22.25,87.75,35.7873622404101,3.481317166788511,1.50542489463114,0.0,0.5808377,327.35184,32.735184,0.0,0.058083773,POINT (87.5 22.5),23.891391902040816,0.0,0.012464536570962881,8.84379209795918,0.0,0.04561923642903712
2003-10-16 00:00:00,23.25,86.75,29.966285838797177,3.844607484648912,0.9672265741072044,0.0,0.31939265,317.5179,31.751791,0.0,0.031939264,POINT (86.5 23.5),22.886413673469388,0.0,0.009681946441655112,8.865377326530613,0.0,0.02225731755834489
2003-10-16 00:00:00,22.75,87.75,29.966285838797177,3.844607484648912,0.9523005579861872,0.0,0.5808377,327.35184,32.735184,0.0,0.058083773,POINT (87.5 22.5),23.891391902040816,0.0,0.012464536570962881,8.84379209795918,0.0,0.04561923642903712
2003-10-16 00:00:00,24.25,87.75,29.966285838797177,3.844607484648912,0.955445765724529,0.0,0.465895,348.67197,34.8672,0.0,0.0465895,POINT (87.5 23.5),23.576730869387756,0.0,0.008539005371186216,11.290469130612241,0.0,0.03805049462881378
2003-10-16 00:00:00,22.25,88.75,35.7873622404101,3.481317166788511,1.3317331549608438,0.0,0.9344548,380.91986,38.091988,0.0,0.09344548,POINT (88.5 22.5),31.226214330612244,0.0,0.023915286100251516,6.865773669387757,0.0,0.06953019389974849
2003-10-16 00:00:00,23.25,86.25,29.966285838797177,3.844607484648912,0.9672265741072044,0.0,0.31939265,317.5179,31.751791,0.0,0.031939264,POINT (86.5 23.5),22.886413673469388,0.0,0.009681946441655112,8.865377326530613,0.0,0.02225731755834489
2003-10-16 00:00:00,25.75,88.25,29.531949791266285,2.7311980478272617,0.935049981980547,0.0,0.54789203,418.63998,41.864,0.0,0.054789204,POINT (88.5 25.5),27.670080755102042,0.0,0.01532489570164154,14.193919244897955,0.0,0.03946430829835846
2003-10-16 00:00:00,23.75,87.75,29.966285838797177,3.844607484648912,1.0547837018250346,0.0,0.465895,348.67197,34.8672,0.0,0.0465895,POINT (87.5 23.5),23.576730869387756,0.0,0.008539005371186216,11.290469130612241,0.0,0.03805049462881378
2003-10-16 00:00:00,26.75,88.75,19.08390257805009,3.0344690251112114,1.2500309329684212,,,,,,,,,,,,,
2003-10-16 00:00:00,21.75,87.75,35.7873622404101,3.481317166788511,0.4385385837881416,0.0,0.5808377,327.35184,32.735184,0.0,0.058083773,POINT (87.5 22.5),23.891391902040816,0.0,0.012464536570962881,8.84379209795918,0.0,0.04561923642903712
2003-10-16 00:00:00,21.75,88.25,35.7873622404101,3.481317166788511,0.0815523886479138,0.0,0.9344548,380.91986,38.091988,0.0,0.09344548,POINT (88.5 22.5),31.226214330612244,0.0,0.023915286100251516,6.865773669387757,0.0,0.06953019389974849
2003-10-16 00:00:00,22.25,88.25,35.7873622404101,3.481317166788511,1.3317331549608438,0.0,0.9344548,380.91986,38.091988,0.0,0.09344548,POINT (88.5 22.5),31.226214330612244,0.0,0.023915286100251516,6.865773669387757,0.0,0.06953019389974849
2003-10-16 00:00:00,25.25,88.75,29.966285838797177,3.844607484648912,1.0277413318537854,0.0,0.54789203,418.63998,41.864,0.0,0.054789204,POINT (88.5 25.5),27.670080755102042,0.0,0.01532489570164154,14.193919244897955,0.0,0.03946430829835846
2003-10-16 00:00:00,22.75,87.25,29.966285838797177,3.844607484648912,0.9523005579861872,0.0,0.5808377,327.35184,32.735184,0.0,0.058083773,POINT (87.5 22.5),23.891391902040816,0.0,0.012464536570962881,8.84379209795918,0.0,0.04561923642903712
2003-10-16 00:00:00,22.75,88.25,29.966285838797177,3.844607484648912,0.8263106409296362,0.0,0.9344548,380.91986,38.091988,0.0,0.09344548,POINT (88.5 22.5),31.226214330612244,0.0,0.023915286100251516,6.865773669387757,0.0,0.06953019389974849
2003-10-16 00:00:00,22.75,88.75,29.966285838797177,3.844607484648912,0.8263106409296362,0.0,0.9344548,380.91986,38.091988,0.0,0.09344548,POINT (88.5 22.5),31.226214330612244,0.0,0.023915286100251516,6.865773669387757,0.0,0.06953019389974849
